Nr;DateTime;SPY Open;SPY High;SPY Low;SPY Close;SPY Volume;SPY Yield C/O;^GDAXI Open;^GDAXI High;^GDAXI Low;^GDAXI Close;^GDAXI Volume;^GDAXI Yield C/O
378;2006/06/05 12:00:000;128,85;128,86;123,87;125,35;125026500;-2,7539112494071687;5685,56;5691,69;5383,28;5464,08;0;-3,973386373876795
379;2006/06/12 12:00:000;125,88;126,36;122,34;124,65;134676300;-0,9819262226639097;5458,38;5507,6;5243,71;5376,01;0;-1,5205579096812676
380;2006/06/19 12:00:000;125,4;125,7;123,55;124,44;72996000;-0,7684956169384135;5388,83;5580,82;5382,58;5529,74;0;2,5812505441621965
381;2006/06/26 12:00:000;124,54;127,66;123,65;127,28;66982100;2,1762434585225474;5542,74;5698,21;5420,08;5683,31;0;2,504484615117158
382;2006/07/03 12:00:000;127,43;128,01;126,29;126,61;56323500;-0,6455698692025972;5688,0;5729,59;5608,95;5681,85;0;-0,10818085726343374
383;2006/07/10 12:00:000;126,94;127,43;122,83;123,52;84562800;-2,731144760185798;5678,11;5711,04;5422,22;5422,22;0;-4,61131051950608
384;2006/07/17 12:00:000;123,52;126,3;122,39;123,95;110263000;0,34751722047335376;5437,08;5587,28;5365,06;5451,01;0;0,2558760554013141
385;2006/07/24 12:00:000;124,44;128,14;124,44;127,98;88456900;2,8050329681878003;5460,12;5708,33;5460,12;5705,42;0;4,394583269887017
386;2006/07/31 12:00:000;127,66;129,43;126,6;128,2;67915500;0,4221064658658382;5704,56;5741,8;5583,96;5723,03;0;0,32325304080980366
387;2006/08/07 12:00:000;127,9;128,6;126,28;127,01;66398700;-0,6982885068568928;5685,46;5709,1;5557,59;5628,37;0;-1,0092158810675953
388;2006/08/14 12:00:000;127,63;130,69;126,92;130,69;65400100;2,3692653614345285;5661,07;5849,37;5659,71;5817,02;0;2,717518283654203
389;2006/08/21 12:00:000;130,18;130,52;129,19;129,81;53860900;-0,28462652393381604;5804,66;5847,11;5744,11;5811,47;0;0,11725076734135265
390;2006/08/28 12:00:000;129,65;131,58;129,64;131,42;50171200;1,3559789485048193;5808,37;5907,16;5767,83;5876,54;0;1,166817261278227
393;2006/09/11 12:00:000;129,86;132,45;129,48;131,96;67155800;1,6041899280040006;5774,31;5953,72;5737,2;5937,87;0;2,793171445867422
394;2006/09/18 12:00:000;131,79;132,77;131,0;131,47;77269300;-0,24310579472849023;5932,51;5979,87;5857,89;5883,32;0;-0,8326166536689054
395;2006/09/25 12:00:000;131,73;133,99;131,05;133,58;71051600;1,3946176055754222;5898,9;6031,55;5864,99;6004,33;0;1,7714982767063046
396;2006/10/02 12:00:000;133,54;135,41;132,65;135,01;66235100;1,0947791339432087;6019,34;6097,87;5944,57;6085,82;0;1,098385620223005
